t f1 f2 f3 f4 Fsum x y Area del_D del_Fsum abs_delFsum (del_Fsum)(del_D) (abs_del_Fsum)(del_D) sum_abs_del_f (sum_abs_del_f)(del_D)
1.44 14 3 6 33 56 0.09500000 -0.05500000 0.00001711 0.01147609 -3 3 -0.03442827 0.03442827 7 0.08033264
1.46 13 4 6 29 52 0.08615385 -0.04846154 0.00001610 0.01100027 -4 4 -0.04400108 0.04400108 6 0.06600161
1.48 13 3 5 30 51 0.09607843 -0.05215686 0.00003112 0.01059022 -1 1 -0.01059022 0.01059022 3 0.03177067
1.50 14 3 7 33 57 0.09087719 -0.05649123 0.00003973 0.00677050 6 6 0.04062297 0.04062297 6 0.04062297
1.52 15 1 6 34 56 0.10500000 -0.06000000 0.00002585 0.01455215 -1 1 -0.01455215 0.01455215 5 0.07276077
1.54 15 2 5 35 57 0.10561404 -0.05649123 0.00002170 0.00356209 1 1 0.00356209 0.00356209 3 0.01068628
1.56 15 3 7 35 60 0.09333333 -0.05600000 0.00000827 0.01229052 3 3 0.03687157 0.03687157 3 0.03687157
1.58 15 3 7 36 61 0.09409836 -0.05737705 0.00000115 0.00157529 1 1 0.00157529 0.00157529 1 0.00157529
1.60 13 2 6 35 56 0.10000000 -0.06500000 0.00000596 0.00964047 -5 5 -0.04820237 0.04820237 5 0.04820237
1.62 12 1 6 33 52 0.10230769 -0.07000000 0.00004936 0.00550685 -4 4 -0.02202742 0.02202742 4 0.02202742
1.64 13 1 3 31 48 0.11666667 -0.05833333 0.00033193 0.01850111 -4 4 -0.07400446 0.07400446 6 0.11100669
1.66 10 -2 1 28 37 0.14756757 -0.07945946 0.00011420 0.03743232 -11 11 -0.41175556 0.41175556 11 0.41175556
1.68 12 1 4 29 46 0.10956522 -0.06086957 0.00014971 0.04230559 9 9 0.38075029 0.38075029 9 0.38075029
1.70 12 1 5 32 50 0.10640000 -0.06720000 0.00004288 0.00707764 4 4 0.02831057 0.02831057 4 0.02831057
1.72 16 3 6 37 62 0.09935484 -0.05419355 0.00009958 0.01479196 12 12 0.17750352 0.17750352 12 0.17750352
1.74 15 5 8 36 64 0.08312500 -0.05250000 0.00007963 0.01631796 2 2 0.03263592 0.03263592 6 0.09790775
